,h5_path,sim_folder,param_folder,type,rbm,x0,y0,sigma,t_dec,dist,lam_psi,D_psi,v0,lam_p,D_p,gamma,alpha,rq,mu,dpsi,seed,Nb,area_psi,area_q,max_psi,has_diff
2046,outputs/differentiation_sweep/dist_pol_sig_13.5_rbm_0.9_x0_25.0_dpsi_30.0/sim_data_20260610_213914/data.h5,sim_data_20260610_213914,dist_pol_sig_13.5_rbm_0.9_x0_25.0_dpsi_30.0,pol,0.9,25.0,25.0,13.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,161951742,902.7545496666567,0.9999999999999738,0.0,0.9999999999999541,True
2049,outputs/differentiation_sweep/dist_pol_sig_7.0_rbm_0.7_x0_25.0_dpsi_30.0/sim_data_20260610_132259/data.h5,sim_data_20260610_132259,dist_pol_sig_7.0_rbm_0.7_x0_25.0_dpsi_30.0,pol,0.7,25.0,25.0,7.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1597575090,215.35936547990786,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2062,outputs/differentiation_sweep/dist_pol_sig_13.5_rbm_1.0_x0_25.0_dpsi_30.0/sim_data_20260610_214007/data.h5,sim_data_20260610_214007,dist_pol_sig_13.5_rbm_1.0_x0_25.0_dpsi_30.0,pol,1.0,25.0,25.0,13.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1749775026,1003.0606107407297,0.9999999999999744,0.0,0.9999999999999556,True
2063,outputs/differentiation_sweep/dist_pol_sig_7.0_rbm_0.4_x0_25.0_dpsi_30.0/sim_data_20260610_130836/data.h5,sim_data_20260610_130836,dist_pol_sig_7.0_rbm_0.4_x0_25.0_dpsi_30.0,pol,0.4,25.0,25.0,7.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1830878822,123.06249455994738,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2065,outputs/differentiation_sweep/dist_pol_sig_14.0_rbm_0.2_x0_25.0_dpsi_30.0/sim_data_20260610_215345/data.h5,sim_data_20260610_215345,dist_pol_sig_14.0_rbm_0.2_x0_25.0_dpsi_30.0,pol,0.2,25.0,25.0,14.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,145142255,211.11667769833764,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2069,outputs/differentiation_sweep/dist_pol_sig_13.0_rbm_0.4_x0_25.0_dpsi_30.0/sim_data_20260610_203948/data.h5,sim_data_20260610_203948,dist_pol_sig_13.0_rbm_0.4_x0_25.0_dpsi_30.0,pol,0.4,25.0,25.0,13.0,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,1756261451,379.7077715112264,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2084,outputs/differentiation_sweep/dist_pol_sig_20.0_rbm_0.8_x0_25.0_dpsi_30.0/sim_data_20260612_124424/data.h5,sim_data_20260612_124424,dist_pol_sig_20.0_rbm_0.8_x0_25.0_dpsi_30.0,pol,0.8,25.0,25.0,20.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,2110625469,1250.656488499291,0.9999999999999593,0.0,0.9999999999999221,True
2100,outputs/differentiation_sweep/dist_pol_sig_11.5_rbm_0.5_x0_25.0_dpsi_30.0/sim_data_20260610_185343/data.h5,sim_data_20260610_185343,dist_pol_sig_11.5_rbm_0.5_x0_25.0_dpsi_30.0,pol,0.5,25.0,25.0,11.5,50.0,pol,1.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,223259428,391.1327183958468,3.3306690738754696e-14,0.0,-0.9999999999999334,False
2150,outputs/differentiation_sweep/dist_pol_sig_25.0_rbm_0.5_x0_25.0_dpsi_30.0/sim_data_20260612_131313/data.h5,sim_data_20260612_131313,dist_pol_sig_25.0_rbm_0.5_x0_25.0_dpsi_30.0,pol,0.5,25.0,25.0,25.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,1661276348,915.0899791825326,0.9999999999999555,0.0,0.9999999999999127,True
2163,outputs/differentiation_sweep/dist_pol_sig_30.0_rbm_0.3_x0_25.0_dpsi_30.0/sim_data_20260612_134214/data.h5,sim_data_20260612_134214,dist_pol_sig_30.0_rbm_0.3_x0_25.0_dpsi_30.0,pol,0.3,25.0,25.0,30.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,213552482,601.2689786266649,5.4567461660326444e-14,0.0,-0.9999999999998909,False
2166,outputs/differentiation_sweep/dist_pol_sig_15.0_rbm_0.5_x0_25.0_dpsi_30.0/sim_data_20260612_120040/data.h5,sim_data_20260612_120040,dist_pol_sig_15.0_rbm_0.5_x0_25.0_dpsi_30.0,pol,0.5,25.0,25.0,15.0,50.0,pol,1.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,1799346789,578.1679747485215,0.9999999999999545,0.0,0.9999999999999127,True
